index,deg
0,1495
2,634
3,1564
4,1746
5,680
6,12
8,1447
9,1656
10,54
12,1695
13,73
14,1751
15,1638
17,1376
19,1427
20,1672
21,1837
22,504
23,1542
25,93
26,25
28,459
30,427
31,1471
32,1572
36,1540
37,1502
38,481
39,1016
41,1325
43,1371
44,1380
45,1317
46,1420
48,1631
49,44
50,1599
52,1809
53,2039
54,2126
56,2171
57,2247
58,2266
62,1227
64,1072
65,1101
67,1254
70,719
71,754
72,1187
74,898
75,2459
79,751
80,859
81,876
83,1179
85,1227
86,1232
87,59
89,59
90,452
91,403
92,284
93,126
95,141
96,124
100,76
103,2008
104,2002
106,291
107,1339
108,47
109,1639
110,1465
111,923
113,1221
115,2638
116,1380
117,1407
118,1730
119,1918
120,4649
121,2317
122,2504
124,944
125,775
126,2894
127,787
128,619
129,2956
130,69
132,1337
138,2695
146,2567
151,2721
153,193
158,1999
159,1787
160,585
161,1852
162,718
164,626
165,692
166,736
167,837
168,1877
172,2131
173,2090
176,812
178,2216
179,2314
180,2398
181,2593
182,539
187,474
190,486
192,484
195,978
197,580
198,646
199,537
200,636
201,645
202,1060
203,885
204,639
205,622
207,2883
208,2929
215,273
218,1748
219,302
221,4508
224,1030
225,1011
226,376
229,1221
230,36
232,45
233,1529
235,47
236,73
237,95
239,99
240,196
242,260
243,18
244,729
245,724
248,999
249,1061
250,1118
251,52
252,52
254,69
256,1388
257,1573
258,1414
259,1421
260,1492
262,1529
264,1596
265,1532
266,1605
269,1608
270,1570
271,119
272,1598
273,1654
274,1672
275,1711
276,1749
277,1830
278,1870
279,1982
280,2050
282,2215
284,1191
286,119
291,1193
293,1176
295,219
302,1041
304,974
305,1032
306,1127
308,131
311,190
314,137
318,229
319,389
320,465
323,1372
324,180
325,1503
331,1362
332,145
333,126
334,140
337,280
338,2019
339,523
340,2278
341,2246
344,2421
345,2146
347,2109
348,2063
349,1888
356,1888
357,238
359,262
362,1927
363,1932
364,1927
365,443
366,2691
367,3025
369,795
370,3155
371,780
372,821
374,834
375,780
376,820
377,856
378,2875
379,2779
380,1980
381,2671
382,819
383,2490
386,908
390,2491
391,2489
392,2333
394,996
397,1061
398,1075
399,1041
400,1074
401,1119
402,1442
404,369
405,1151
406,1256
407,390
408,1209
409,1214
411,1276
413,1341
414,1315
416,1325
418,1360
419,1415
420,1599
421,442
426,1832
427,1861
428,424
429,1679
430,1790
431,1747
433,1696
435,418
436,1457
438,1642
440,1522
443,927
444,1002
446,993
448,628
449,776
450,960
451,1052
452,1028
453,1042
454,1300
461,630
475,413
477,312
478,347
479,325
480,335
482,295
483,377
484,366
486,391
487,349
488,404
490,443
493,502
494,465
496,490
497,482
498,531
499,526
500,551
501,561
504,123
508,299
511,186
519,541
520,462
526,748
528,1568
529,406
530,423
531,618
535,606
537,543
538,1357
539,620
541,434
542,401
