index,deg
0,614
4,702
5,164
8,555
9,214
10,230
11,1552
13,156
14,291
21,1451
23,276
24,243
25,248
30,1470
35,1427
37,1467
41,59
42,222
44,203
46,724
47,238
49,215
50,1416
51,170
53,411
54,1480
55,204
56,283
59,1507
61,917
63,866
64,53
69,397
70,182
72,189
75,81
77,216
79,468
80,81
82,364
83,207
84,351
87,346
88,370
90,647
92,193
94,144
98,444
101,477
102,212
107,80
108,205
112,185
114,237
115,391
117,304
118,214
119,342
125,210
129,588
130,260
132,675
135,347
136,289
137,1394
141,364
142,1373
143,326
146,1415
147,309
148,58
149,215
150,280
151,234
152,237
153,114
155,517
157,83
158,106
159,192
164,394
167,803
169,186
171,201
172,211
173,1199
174,537
175,147
177,166
179,271
180,1575
181,4
182,1663
183,85
184,56
186,180
187,162
189,5368
190,154
193,222
196,93
197,181
198,285
202,138
203,123
205,76
206,136
208,72
209,297
210,206
212,388
217,598
218,223
221,920
222,2206
223,1588
226,48
227,1797
229,1841
232,1685
233,200
234,97
236,40
238,14
241,1270
245,130
247,1299
249,95
254,351
255,152
260,120
262,502
263,154
265,163
266,401
268,1566
270,270
273,254
281,190
284,147
289,38
290,108
292,37
295,45
305,1560
313,79
320,150
322,154
324,174
328,242
329,248
330,283
331,148
334,193
335,245
336,276
338,199
341,932
343,134
345,114
351,109
352,225
353,332
354,4
355,415
358,411
359,1963
360,202
362,874
363,187
364,207
365,69
366,44
367,448
370,1422
372,82
373,82
378,88
380,85
385,107
386,354
388,71
389,47
392,2
393,18
394,20
399,211
401,229
404,183
408,383
411,133
418,217
419,248
420,1115
421,1358
422,364
423,1071
425,801
426,748
427,256
428,15
429,557
431,1399
432,548
433,912
435,433
438,495
440,281
441,259
442,888
443,503
444,282
446,308
447,46
448,283
450,15
451,15
455,512
456,385
457,168
458,396
459,347
461,1216
462,550
464,573
468,679
469,228
470,2
478,884
481,337
482,422
485,482
487,300
488,62
489,432
490,76
491,387
496,654
497,225
500,1255
502,1312
503,37
506,54
508,276
511,276
513,1179
515,84
516,245
517,769
519,740
523,24
530,270
531,467
532,734
533,481
534,756
535,460
538,57
540,413
541,85
542,247
545,112
548,428
550,416
551,231
555,233
559,225
561,827
562,189
567,108
571,205
575,266
576,276
578,321
581,101
582,5
583,433
584,109
585,405
593,399
594,340
596,306
597,268
598,78
601,1239
602,1206
603,271
604,109
606,331
609,44
615,393
616,299
620,251
622,318
624,44
625,46
628,374
629,400
631,387
635,388
636,79
637,84
639,310
640,131
641,282
644,255
649,288
651,233
658,156
661,47
667,645
668,131
670,796
671,769
672,744
673,201
675,301
676,704
678,335
679,232
680,290
681,628
682,599
683,1273
684,23
686,266
687,588
688,538
689,3141
691,245
692,234
693,520
694,229
695,374
696,288
698,221
699,863
700,160
701,253
703,236
704,633
707,111
708,266
712,226
713,247
714,338
716,660
717,496
719,166
720,438
721,101
722,458
726,104
727,100
728,978
729,1133
730,145
731,141
733,218
735,23
736,18
737,2092
738,174
739,1941
740,1677
741,1543
743,1271
746,1366
747,1365
748,1231
749,1167
750,1015
751,1014
752,147
754,1347
755,1326
757,71
758,857
763,36
764,264
766,45
768,192
769,37
771,216
772,552
773,165
774,417
775,1067
776,245
778,260
779,172
780,117
782,150
783,504
785,123
786,516
787,428
788,297
793,1390
794,1227
798,18
799,1289
803,84
809,1312
810,97
812,2460
813,4
822,84
824,261
829,242
832,38
835,499
840,203
841,179
845,173
847,494
850,146
851,63
853,80
857,58
860,1051
863,83
865,73
866,86
868,73
869,1058
870,653
871,1349
872,89
873,993
880,904
881,145
882,545
883,69
885,1057
887,57
889,62
891,1769
892,60
893,51
894,254
896,223
897,18
900,1354
901,1664
902,477
903,1365
904,1344
906,35
907,1227
910,120
911,490
920,123
921,211
922,247
923,771
926,1167
927,1929
938,188
939,45
940,92
943,249
948,76
950,1964
951,69
953,842
955,302
959,260
960,537
962,506
965,219
967,65
977,221
983,116
984,749
987,1126
988,2008
989,23
993,110
995,79
1001,214
1002,1954
1004,176
1005,178
1007,182
1008,126
1010,129
1011,183
1012,148
1014,438
1015,433
1017,1309
1019,175
1021,149
1022,282
1023,1346
1024,213
1026,318
1028,190
1030,317
1031,222
1033,167
1034,169
1036,185
1037,471
1039,91
1041,725
1047,340
1049,329
1053,1880
1054,558
1055,12
1057,46
1059,46
1063,421
1064,385
1065,396
1068,364
1072,350
1074,420
1079,432
1080,434
1081,23
1084,770
1085,791
1086,96
1087,92
1089,70
1090,77
1091,831
